Job No,PO Origin,PO Target,PO Vendor Amount,Invoice No,Invoice From,Invoice To,Invoice Amount,Mismatch,Difference
J-2025-314062,BGE Ltd.co,JD Graphic,577.77,INV-2025-931065,JD Graphic,BGE Ltd.co,577.77,NO,0.00
J-2025-314062,Impact Direct,BGE Ltd.co,1206.11,INV-2025-931082,BGE Ltd.co,Impact Direct,1235.77,YES,29.66
J-2025-616333,BGE Ltd.co,JD Graphic,300.00,INV-2025-931066,JD Graphic,BGE Ltd.co,300.00,NO,0.00
J-2025-616333,Impact Direct,BGE Ltd.co,998.10,INV-2025-657326,BGE Ltd.co,Impact Direct,1050.00,YES,51.90
J-2025-710561,BGE Ltd.co,JD Graphic,737.70,INV-2025-931067,JD Graphic,BGE Ltd.co,737.70,NO,0.00
J-2025-710561,Impact Direct,BGE Ltd.co,1539.97,INV-2025-931083,BGE Ltd.co,Impact Direct,1511.23,YES,-28.74
J-2025-216133,BGE Ltd.co,JD Graphic,12200.62,INV-2025-931068,JD Graphic,BGE Ltd.co,12200.62,NO,0.00
J-2025-216133,Impact Direct,BGE Ltd.co,21357.29,INV-2025-931084,BGE Ltd.co,Impact Direct,22558.01,YES,1200.72
J-2025-522931,BGE Ltd.co,JD Graphic,300.00,INV-2025-931069,JD Graphic,BGE Ltd.co,300.00,NO,0.00
J-2025-522931,Impact Direct,BGE Ltd.co,998.10,INV-2025-667160,BGE Ltd.co,Impact Direct,1050.00,YES,51.90
J-2025-496013,BGE Ltd.co,JD Graphic,1097.60,INV-2025-931070,JD Graphic,BGE Ltd.co,1097.60,NO,0.00
J-2025-496013,Impact Direct,BGE Ltd.co,2291.28,INV-2025-931085,BGE Ltd.co,Impact Direct,2347.63,YES,56.35
J-2025-889849,BGE Ltd.co,JD Graphic,300.00,INV-2025-931071,JD Graphic,BGE Ltd.co,300.00,NO,0.00
J-2025-889849,Impact Direct,BGE Ltd.co,915.30,INV-2025-931086,BGE Ltd.co,Impact Direct,879.00,YES,-36.30
J-2025-308885,BGE Ltd.co,JD Graphic,1213.17,INV-2025-931072,JD Graphic,BGE Ltd.co,1213.17,NO,0.00
J-2025-308885,Impact Direct,BGE Ltd.co,2532.54,INV-2025-931087,BGE Ltd.co,Impact Direct,2594.83,YES,62.29
J-2025-223952,BGE Ltd.co,JD Graphic,1000.42,INV-2025-931062,JD Graphic,BGE Ltd.co,1000.42,NO,0.00
J-2025-223952,Impact Direct,BGE Ltd.co,2088.41,INV-2025-931063,BGE Ltd.co,Impact Direct,2139.77,YES,51.36
J-2025-619301,BGE Ltd.co,JD Graphic,130.00,INV-2025-931073,JD Graphic,BGE Ltd.co,130.00,NO,0.00
J-2025-619301,Impact Direct,BGE Ltd.co,432.51,INV-2025-180212,BGE Ltd.co,Impact Direct,455.00,YES,22.49
J-2025-119173,BGE Ltd.co,JD Graphic,9320.01,INV-2025-931074,JD Graphic,BGE Ltd.co,13466.94,YES,4146.93
J-2025-119173,Impact Direct,BGE Ltd.co,13496.94,INV-2025-913228,BGE Ltd.co,Impact Direct,15895.93,YES,2398.99
J-2025-401034,BGE Ltd.co,JD Graphic,40.00,INV-2025-931075,JD Graphic,BGE Ltd.co,40.00,NO,0.00
J-2025-401034,Impact Direct,BGE Ltd.co,247.50,INV-2025-645938,BGE Ltd.co,Impact Direct,455.00,YES,207.50
J-2025-642385,BGE Ltd.co,JD Graphic,0.00,INV-2025-931076,JD Graphic,BGE Ltd.co,3998.75,YES,3998.75
J-2025-653930,BGE Ltd.co,JD Graphic,300.00,INV-2025-931077,JD Graphic,BGE Ltd.co,300.00,NO,0.00
J-2025-653930,Impact Direct,BGE Ltd.co,998.10,INV-2025-931088,BGE Ltd.co,Impact Direct,913.50,YES,-84.60
J-2025-574827,BGE Ltd.co,JD Graphic,989.21,INV-2025-931078,JD Graphic,BGE Ltd.co,989.21,NO,-0.00
J-2025-574827,Impact Direct,BGE Ltd.co,2065.00,INV-2025-931089,BGE Ltd.co,Impact Direct,1972.08,YES,-92.93
J-2025-121928,BGE Ltd.co,JD Graphic,733.81,INV-2025-931079,JD Graphic,BGE Ltd.co,733.81,NO,0.00
J-2025-121928,Impact Direct,BGE Ltd.co,1531.86,INV-2025-931090,BGE Ltd.co,Impact Direct,1569.54,YES,37.68
J-2025-704908,BGE Ltd.co,JD Graphic,100.00,INV-2025-931080,JD Graphic,BGE Ltd.co,37.46,YES,-62.54
J-2025-704908,Impact Direct,BGE Ltd.co,332.70,INV-2025-931091,BGE Ltd.co,Impact Direct,304.50,YES,-28.20
J-2025-646183,BGE Ltd.co,JD Graphic,393.44,INV-2025-931081,JD Graphic,BGE Ltd.co,393.44,NO,0.00
J-2025-646183,Impact Direct,BGE Ltd.co,821.32,INV-2025-931092,BGE Ltd.co,Impact Direct,903.87,YES,82.55
